hp:0000001	all	all
hp:0000119	abnormality of the genitourinary system	genitourinary tract anomalies
hp:0000119	abnormality of the genitourinary system	genitourinary tract malformation
hp:0000119	abnormality of the genitourinary system	urogenital abnormalities
hp:0000119	abnormality of the genitourinary system	urogenital anomalies
hp:0000121	nephrocalcinosis	nephrocalcinosis
hp:0000121	nephrocalcinosis	too much calcium deposited in kidneys
hp:0000122	unilateral renal agenesis	unilateral renal agenesis
hp:0000122	unilateral renal agenesis	unilateral kidney agenesis
hp:0000122	unilateral renal agenesis	missing one kidney
hp:0000122	unilateral renal agenesis	single kidney
hp:0000122	unilateral renal agenesis	absent kidney on one side
hp:0000123	nephritis	nephritis
hp:0000123	nephritis	kidney inflammation
hp:0000124	renal tubular dysfunction	renal tubular dysfunction
hp:0000124	renal tubular dysfunction	renal tubular defect
hp:0000125	pelvic kidney	pelvic kidney
hp:0000125	pelvic kidney	sacral kidney
hp:0000126	hydronephrosis	hydronephrosis
hp:0000127	renal salt wasting	renal salt wasting
hp:0000127	renal salt wasting	renal salt-wasting
hp:0000127	renal salt wasting	salt wasting
hp:0000127	renal salt wasting	salt-wasting
hp:0000128	renal potassium wasting	renal potassium wasting
hp:0000130	abnormality of the uterus	abnormality of the uterus
hp:0000130	abnormality of the uterus	abnormality of the uterus
hp:0000130	abnormality of the uterus	uterine abnormalities
hp:0000130	abnormality of the uterus	uterine malformations
hp:0000131	uterine leiomyoma	uterine leiomyoma
hp:0000131	uterine leiomyoma	benign uterine leiomyomas
hp:0000131	uterine leiomyoma	uterine fibroid
hp:0000132	menorrhagia	menorrhagia
hp:0000132	menorrhagia	hypermenorrhea
hp:0000132	menorrhagia	abnormally heavy bleeding during menstruation
hp:0000133	gonadal dysgenesis	gonadal dysgenesis
hp:0000133	gonadal dysgenesis	mixed gonadal dysgenesis
hp:0000133	gonadal dysgenesis	pure gonadal dysgenesis
hp:0000134	female hypogonadism	female hypogonadism
hp:0000134	female hypogonadism	hypogonadism, female
hp:0000135	hypogonadism	hypogonadism
hp:0000135	hypogonadism	decreased activity of gonads
hp:0000136	bifid uterus	bifid uterus
hp:0000137	abnormality of the ovary	abnormality of the ovary
hp:0000137	abnormality of the ovary	abnormality of the ovaries
hp:0000137	abnormality of the ovary	abnormality of the ovary
hp:0000138	ovarian cyst	ovarian cyst
hp:0000138	ovarian cyst	cystic abnormalities of the ovaries
hp:0000138	ovarian cyst	cystic ovaries
hp:0000138	ovarian cyst	ovarian cystic abnormality
hp:0000138	ovarian cyst	ovarian cyst
hp:0000139	uterine prolapse	uterine prolapse
hp:0000139	uterine prolapse	sagging uterus
hp:0000140	abnormality of the menstrual cycle	abnormality of the menstrual cycle
hp:0000140	abnormality of the menstrual cycle	abnormality of the menstrual cycle
hp:0000141	amenorrhea	amenorrhea
hp:0000141	amenorrhea	abnormal absence of menstruation
hp:0000142	abnormal vagina morphology	abnormal vagina morphology
hp:0000142	abnormal vagina morphology	vaginal malformation
hp:0000143	rectovaginal fistula	rectovaginal fistula
hp:0000144	decreased fertility	decreased fertility
hp:0000144	decreased fertility	decreased fertility
hp:0000144	decreased fertility	abnormal fertility
hp:0000145	transverse vaginal septum	transverse vaginal septum
hp:0000145	transverse vaginal septum	transverse vaginal membrane
hp:0000147	polycystic ovaries	polycystic ovaries
hp:0000147	polycystic ovaries	polycystic ovary
hp:0000147	polycystic ovaries	sclerocystic ovaries
hp:0000148	vaginal atresia	vaginal atresia
hp:0000148	vaginal atresia	abnormally closed or absent vagina
hp:0000149	ovarian gonadoblastoma	ovarian gonadoblastoma
hp:0000149	ovarian gonadoblastoma	gonadoblastoma, female
hp:0000150	gonadoblastoma	gonadoblastoma
hp:0000151	aplasia of the uterus	aplasia of the uterus
hp:0000151	aplasia of the uterus	absent uterus
hp:0000151	aplasia of the uterus	uterus absent
hp:0000152	abnormality of head or neck	abnormality of head or neck
hp:0000152	abnormality of head or neck	abnormality of head or neck
hp:0000152	abnormality of head or neck	head and neck abnormality
hp:0000153	abnormality of the mouth	abnormality of the mouth
hp:0000153	abnormality of the mouth	abnormality of the mouth
hp:0000153	abnormality of the mouth	abnormal mouth
hp:0000154	wide mouth	wide mouth
hp:0000154	wide mouth	broad mouth
hp:0000154	wide mouth	large mouth
hp:0000154	wide mouth	macrostomia
hp:0000154	wide mouth	wide mouth
hp:0000154	wide mouth	large oral aperture
hp:0000155	oral ulcer	oral ulcer
hp:0000155	oral ulcer	mouth ulcer
hp:0000157	abnormality of the tongue	abnormality of the tongue
hp:0000157	abnormality of the tongue	abnormality of the tongue
hp:0000157	abnormality of the tongue	tongue abnormality
hp:0000157	abnormality of the tongue	abnormal tongue
hp:0000157	abnormality of the tongue	lingual abnormality
hp:0000157	abnormality of the tongue	glossal abnormality
hp:0000158	macroglossia	macroglossia
hp:0000158	macroglossia	hyperplasia of the tongue
hp:0000158	macroglossia	hypertrophy of the tongue
hp:0000158	macroglossia	large tongue
hp:0000158	macroglossia	tongue hypertrophy
hp:0000158	macroglossia	abnormally large tongue
hp:0000158	macroglossia	increased size of tongue
hp:0000159	abnormal lip morphology	abnormal lip morphology
hp:0000159	abnormal lip morphology	abnormality of the lip
hp:0000159	abnormal lip morphology	lip abnormality
hp:0000159	abnormal lip morphology	abnormal lip
hp:0000160	narrow mouth	narrow mouth
hp:0000160	narrow mouth	microstomia
hp:0000160	narrow mouth	narrow mouth
hp:0000160	narrow mouth	small mouth
hp:0000160	narrow mouth	small oral aperture
hp:0000161	median cleft lip	median cleft lip
hp:0000161	median cleft lip	midline cleft lip
hp:0000161	median cleft lip	central cleft upper lip
hp:0000162	glossoptosis	glossoptosis
hp:0000162	glossoptosis	lingual retraction
hp:0000162	glossoptosis	retraction of the tongue
hp:0000163	abnormal oral cavity morphology	abnormal oral cavity morphology
hp:0000163	abnormal oral cavity morphology	abnormality of the oral cavity
hp:0000164	abnormality of the dentition	abnormality of the dentition
hp:0000164	abnormality of the dentition	abnormal dentition
hp:0000164	abnormality of the dentition	abnormal teeth
hp:0000164	abnormality of the dentition	dental abnormalities
hp:0000164	abnormality of the dentition	dental abnormality
hp:0000164	abnormality of the dentition	dental anomalies
hp:0000166	severe periodontitis	severe periodontitis
hp:0000166	severe periodontitis	severe periodontal disease
hp:0000166	severe periodontitis	severe pyorrhea
hp:0000168	abnormality of the gingiva	abnormality of the gingiva
hp:0000168	abnormality of the gingiva	gingival abnormality
hp:0000168	abnormality of the gingiva	abnormality of the gums
hp:0000169	gingival fibromatosis	gingival fibromatosis
hp:0000169	gingival fibromatosis	gingival fibroma
hp:0000169	gingival fibromatosis	gingival fibrous nodules
hp:0000171	microglossia	microglossia
hp:0000171	microglossia	hypoglossia
hp:0000171	microglossia	hypoplasia of the tongue
hp:0000171	microglossia	hypoplastic tongue
hp:0000171	microglossia	rudimentary tongue
hp:0000171	microglossia	small tongue
hp:0000171	microglossia	underdevelopment of the tongue
hp:0000171	microglossia	lingual hypoplasia
hp:0000171	microglossia	abnormally small tongue
hp:0000171	microglossia	decreased size of tongue
hp:0000172	abnormality of the uvula	abnormality of the uvula
hp:0000172	abnormality of the uvula	abnormality of the uvula
hp:0000172	abnormality of the uvula	abnormality of palatine uvula
hp:0000174	abnormal palate morphology	abnormal palate morphology
hp:0000174	abnormal palate morphology	abnormality of the palate
hp:0000174	abnormal palate morphology	palate abnormality
hp:0000174	abnormal palate morphology	palatal anomaly
hp:0000174	abnormal palate morphology	abnormality of the roof of the mouth
hp:0000175	cleft palate	cleft palate
hp:0000175	cleft palate	cleft palate
hp:0000175	cleft palate	cleft hard and soft palate
hp:0000175	cleft palate	cleft of hard and soft palate
hp:0000175	cleft palate	palatoschisis
hp:0000175	cleft palate	uranostaphyloschisis
hp:0000175	cleft palate	cleft of palate
hp:0000176	submucous cleft hard palate	submucous cleft hard palate
hp:0000176	submucous cleft hard palate	submucosal cleft palate
hp:0000176	submucous cleft hard palate	partial thickness cleft hard palate
hp:0000177	abnormality of upper lip	abnormality of upper lip
hp:0000177	abnormality of upper lip	abnormality of upper lip
hp:0000178	abnormality of lower lip	abnormality of lower lip
hp:0000178	abnormality of lower lip	abnormality of lower lip
hp:0000179	thick lower lip vermilion	thick lower lip vermilion
hp:0000179	thick lower lip vermilion	prominent lower lip
hp:0000179	thick lower lip vermilion	increased height of lower lip vermilion
hp:0000179	thick lower lip vermilion	full lower lip vermilion
hp:0000179	thick lower lip vermilion	increased volume of lower lip vermilion
hp:0000179	thick lower lip vermilion	thick vermilion border of lower lip
hp:0000179	thick lower lip vermilion	increased volume of lower lip
hp:0000179	thick lower lip vermilion	plump lower lip
hp:0000180	lobulated tongue	lobulated tongue
hp:0000180	lobulated tongue	lobulate tongue
hp:0000180	lobulated tongue	bumpy tongue
hp:0000180	lobulated tongue	lingual lobules
hp:0000182	movement abnormality of the tongue	movement abnormality of the tongue
hp:0000182	movement abnormality of the tongue	movement abnormality of the tongue
hp:0000182	movement abnormality of the tongue	abnormality of lingual movement
hp:0000183	difficulty in tongue movements	difficulty in tongue movements
hp:0000183	difficulty in tongue movements	difficulty in tongue movements
hp:0000183	difficulty in tongue movements	difficulty in lingual movements
hp:0000185	cleft soft palate	cleft soft palate
hp:0000185	cleft soft palate	cleft muscular palate
hp:0000185	cleft soft palate	cleft of soft palate
hp:0000185	cleft soft palate	cleft velum
hp:0000187	broad alveolar ridges	broad alveolar ridges
hp:0000187	broad alveolar ridges	broad alveolar margins
hp:0000187	broad alveolar ridges	widened alveolar ridges
hp:0000188	short upper lip	short upper lip
hp:0000188	short upper lip	short upper lip
hp:0000188	short upper lip	decreased upper labial length
hp:0000188	short upper lip	decreased vertical length of upper lip
hp:0000188	short upper lip	shortening of upper lip
hp:0000188	short upper lip	decreased height of upper lip
hp:0000188	short upper lip	vertical deficiency of upper lip
hp:0000188	short upper lip	decreased upper labial height
hp:0000189	narrow palate	narrow palate
hp:0000189	narrow palate	narrow palate
hp:0000189	narrow palate	decreased palatal width
hp:0000189	narrow palate	decreased transverse dimension of palate
hp:0000189	narrow palate	narrow roof of mouth
hp:0000190	abnormal oral frenulum morphology	abnormal oral frenulum morphology
hp:0000190	abnormal oral frenulum morphology	abnormality of lingual frenum
hp:0000190	abnormal oral frenulum morphology	abnormality of frenum of tongue
hp:0000190	abnormal oral frenulum morphology	abnormality of oral frenula
hp:0000190	abnormal oral frenulum morphology	abnormality of oral frenum
hp:0000191	accessory oral frenulum	accessory oral frenulum
hp:0000191	accessory oral frenulum	extra oral frenulum
hp:0000191	accessory oral frenulum	supernumerary oral frenulum
hp:0000191	accessory oral frenulum	multiple oral frenula
hp:0000191	accessory oral frenulum	accessory oral frenum
hp:0000191	accessory oral frenulum	supernumerary oral frenum
hp:0000191	accessory oral frenulum	extra oral frenum
hp:0000193	bifid uvula	bifid uvula
hp:0000193	bifid uvula	cleft uvula
hp:0000193	bifid uvula	uvula bifida
hp:0000193	bifid uvula	split uvula
hp:0000193	bifid uvula	bifid palatine uvula
hp:0000193	bifid uvula	forked uvula
hp:0000194	open mouth	open mouth
hp:0000194	open mouth	open mouth
hp:0000194	open mouth	slack jawed appearance
hp:0000194	open mouth	gaped mouthed appearance
hp:0000194	open mouth	gaped jawed appearance
hp:0000196	lower lip pit	lower lip pit
hp:0000197	abnormal parotid gland morphology	abnormal parotid gland morphology
hp:0000197	abnormal parotid gland morphology	abnormality of parotid gland
hp:0000197	abnormal parotid gland morphology	anomaly of the parotid gland
hp:0000198	absence of stensen duct	absence of stensen duct
hp:0000198	absence of stensen duct	absent stensen duct
hp:0000198	absence of stensen duct	missing parotid duct
hp:0000198	absence of stensen duct	failure of development of parotid duct
hp:0000198	absence of stensen duct	failure of development of stensen duct
hp:0000198	absence of stensen duct	missing stensen duct
hp:0000198	absence of stensen duct	absence of parotid duct
hp:0000199	tongue nodules	tongue nodules
hp:0000199	tongue nodules	lingual nodules
hp:0000200	short lingual frenulum	short lingual frenulum
hp:0000200	short lingual frenulum	short tongue frenulum
hp:0000200	short lingual frenulum	deficiency of lingual frenulum
hp:0000200	short lingual frenulum	short tongue frenum
hp:0000200	short lingual frenulum	tight lingual frenulum
hp:0000200	short lingual frenulum	short lingual frenum
hp:0000201	pierre-robin sequence	pierre-robin sequence
hp:0000201	pierre-robin sequence	pierre robin sequence
hp:0000201	pierre-robin sequence	robin sequence
hp:0000201	pierre-robin sequence	pierre-robin deformity
hp:0000201	pierre-robin sequence	pierre-robin anomaly
hp:0000201	pierre-robin sequence	pierre-robin malformation
hp:0000202	oral cleft	oral cleft
hp:0000202	oral cleft	oral clefting
hp:0000202	oral cleft	cleft of the mouth
hp:0000204	cleft upper lip	cleft upper lip
hp:0000204	cleft upper lip	cleft upper lip
hp:0000204	cleft upper lip	harelip
hp:0000204	cleft upper lip	cheiloschisis of upper lip
hp:0000205	pursed lips	pursed lips
hp:0000205	pursed lips	pursed lips
hp:0000205	pursed lips	tightly closed lips
hp:0000206	glossitis	glossitis
hp:0000206	glossitis	lingual inflammation
hp:0000206	glossitis	inflammation of the tongue
hp:0000206	glossitis	smooth swollen tongue
hp:0000207	triangular mouth	triangular mouth
hp:0000207	triangular mouth	triangular mouth
hp:0000207	triangular mouth	triangular shaped mouth
hp:0000207	triangular mouth	triangular shaped oral aperture
hp:0000211	trismus	trismus
hp:0000211	trismus	pain of muscles of mastication
hp:0000212	gingival overgrowth	gingival overgrowth
hp:0000212	gingival overgrowth	gingival hyperplasia
hp:0000212	gingival overgrowth	gingival hypertrophy
hp:0000212	gingival overgrowth	gum hypertrophy
hp:0000212	gingival overgrowth	gum enlargement
hp:0000212	gingival overgrowth	gingival enlargement
hp:0000214	lip telangiectasia	lip telangiectasia
hp:0000214	lip telangiectasia	lip telangiectases
hp:0000214	lip telangiectasia	telangiectasia of the lips
hp:0000214	lip telangiectasia	labial telangiectasia
hp:0000215	thick upper lip vermilion	thick upper lip vermilion
hp:0000215	thick upper lip vermilion	prominent upper lip
hp:0000215	thick upper lip vermilion	thick upper lip
hp:0000215	thick upper lip vermilion	thick vermilion border of upper lip
hp:0000215	thick upper lip vermilion	full upper lip vermilion
hp:0000215	thick upper lip vermilion	increased height of upper lip vermilion
hp:0000215	thick upper lip vermilion	increased volume of upper lip
hp:0000215	thick upper lip vermilion	plump upper lip
hp:0000215	thick upper lip vermilion	full upper lip
hp:0000215	thick upper lip vermilion	increased volume of upper lip vermilion
hp:0000216	broad secondary alveolar ridge	broad secondary alveolar ridge
hp:0000216	broad secondary alveolar ridge	secondary alveolar ridges
hp:0000217	xerostomia	xerostomia
hp:0000217	xerostomia	dry mouth
hp:0000217	xerostomia	reduced salivation
hp:0000217	xerostomia	dry mouth syndrome
hp:0000218	high palate	high palate
hp:0000218	high palate	high palate
hp:0000218	high palate	high, arched palate
hp:0000218	high palate	high-arched palate
