orpha:10	48,xxyy syndrome	48,xxyy syndrome
orpha:100025	alpha-heavy chain disease	alpha-heavy chain disease
orpha:100025	alpha-heavy chain disease	alpha-hcd
orpha:100025	alpha-heavy chain disease	ipsid
orpha:100025	alpha-heavy chain disease	immunoproliferative small intestinal disease
orpha:100025	alpha-heavy chain disease	mediterranean lymphoma
orpha:100026	gamma-heavy chain disease	gamma-heavy chain disease
orpha:100026	gamma-heavy chain disease	franklin disease
orpha:100026	gamma-heavy chain disease	gamma-hcd
orpha:100031	hypoplastic amelogenesis imperfecta	hypoplastic amelogenesis imperfecta
orpha:100031	hypoplastic amelogenesis imperfecta	amelogenesis imperfecta type 1
orpha:100032	hypocalcified amelogenesis imperfecta	hypocalcified amelogenesis imperfecta
orpha:100032	hypocalcified amelogenesis imperfecta	amelogenesis imperfecta type 3
orpha:100033	hypomaturation amelogenesis imperfecta	hypomaturation amelogenesis imperfecta
orpha:100033	hypomaturation amelogenesis imperfecta	amelogenesis imperfecta type 2
orpha:100034	hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism	hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism
orpha:100034	hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism	amelogenesis imperfecta type 4
orpha:100035	solitary necrotic nodule of the liver	solitary necrotic nodule of the liver
orpha:100035	solitary necrotic nodule of the liver	hepatic solitary necrotic nodule
orpha:100043	autosomal dominant intermediate charcot-marie-tooth disease type a	autosomal dominant intermediate charcot-marie-tooth disease type a
orpha:100043	autosomal dominant intermediate charcot-marie-tooth disease type a	cmtdia
orpha:100044	autosomal dominant intermediate charcot-marie-tooth disease type b	autosomal dominant intermediate charcot-marie-tooth disease type b
orpha:100044	autosomal dominant intermediate charcot-marie-tooth disease type b	cmtdib
orpha:100045	autosomal dominant intermediate charcot-marie-tooth disease type c	autosomal dominant intermediate charcot-marie-tooth disease type c
orpha:100045	autosomal dominant intermediate charcot-marie-tooth disease type c	cmtdic
orpha:100046	autosomal dominant intermediate charcot-marie-tooth disease type d	autosomal dominant intermediate charcot-marie-tooth disease type d
orpha:100046	autosomal dominant intermediate charcot-marie-tooth disease type d	cmtdid
orpha:100047	esophageal duplication cyst	esophageal duplication cyst
orpha:100048	tubular duplication of the esophagus	tubular duplication of the esophagus
orpha:100049	primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies	primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies
orpha:100049	primary interstitial lung disease specific to childhood due to pulmonary surfactant protein anomalies	primary ild specific to childhood due to pulmonary surfactant protein anomalies
orpha:100050	hereditary angioedema type 1	hereditary angioedema type 1
orpha:100050	hereditary angioedema type 1	hae 1
orpha:100050	hereditary angioedema type 1	hae-i
orpha:100050	hereditary angioedema type 1	hereditary angioneurotic edema type 1
orpha:100051	hereditary angioedema type 2	hereditary angioedema type 2
orpha:100051	hereditary angioedema type 2	hae 2
orpha:100051	hereditary angioedema type 2	hae-ii
orpha:100051	hereditary angioedema type 2	hereditary angioneurotic edema type 2
orpha:100054	hereditary angioedema type 3	hereditary angioedema type 3
orpha:100054	hereditary angioedema type 3	hae 3
orpha:100054	hereditary angioedema type 3	hae-iii
orpha:100054	hereditary angioedema type 3	hereditary angioneurotic edema type 3
orpha:100054	hereditary angioedema type 3	inherited estrogen-associated angioedema
orpha:100054	hereditary angioedema type 3	inherited estrogen-associated angioneurotic edema
orpha:100054	hereditary angioedema type 3	inherited estrogen-dependent angioedema
orpha:100054	hereditary angioedema type 3	inherited estrogen-dependent angioneurotic edema
orpha:100055	acquired angioedema type 2	acquired angioedema type 2
orpha:100055	acquired angioedema type 2	aae 2
orpha:100055	acquired angioedema type 2	aae ii
orpha:100055	acquired angioedema type 2	acquired angioneurotic edema type 2
orpha:100056	acquired angioedema type 1	acquired angioedema type 1
orpha:100056	acquired angioedema type 1	acquired angioneurotic edema type 1
orpha:100057	renin-angiotensin-aldosterone system-blocker-induced angioedema	renin-angiotensin-aldosterone system-blocker-induced angioedema
orpha:100057	renin-angiotensin-aldosterone system-blocker-induced angioedema	raas-blocker-induced angioedema
orpha:100057	renin-angiotensin-aldosterone system-blocker-induced angioedema	raas-blocker-induced angioneurotic edema
orpha:100057	renin-angiotensin-aldosterone system-blocker-induced angioedema	rae
orpha:100057	renin-angiotensin-aldosterone system-blocker-induced angioedema	renin-angiotensin-aldosterone system-blocker-induced angioneurotic edema
orpha:100067	waterhouse-friderichsen syndrome	waterhouse-friderichsen syndrome
orpha:100069	semantic dementia	semantic dementia
orpha:100069	semantic dementia	semantic primary progressive aphasia
orpha:100069	semantic dementia	semantic variant ppa
orpha:100070	progressive non-fluent aphasia	progressive non-fluent aphasia
orpha:100070	progressive non-fluent aphasia	agramatic variant of ppa
orpha:100070	progressive non-fluent aphasia	agramatic variant of primary progressive aphasia
orpha:100070	progressive non-fluent aphasia	non-fluent variant ppa
orpha:100071	mosaic trisomy 3	mosaic trisomy 3
orpha:100071	mosaic trisomy 3	mosaic trisomy chromosome 3
orpha:100071	mosaic trisomy 3	trisomy 3 mosaicism
orpha:100073	neurogenic thoracic outlet syndrome	neurogenic thoracic outlet syndrome
orpha:100073	neurogenic thoracic outlet syndrome	ntos
orpha:100073	neurogenic thoracic outlet syndrome	neurogenic tos
orpha:100073	neurogenic thoracic outlet syndrome	neurogenic cervical rib syndrome
orpha:100073	neurogenic thoracic outlet syndrome	neurogenic costoclavicular syndrome
orpha:100073	neurogenic thoracic outlet syndrome	neurogenic thoracic outlet compression syndrome
orpha:100075	neuroendocrine tumor of stomach	neuroendocrine tumor of stomach
orpha:100075	neuroendocrine tumor of stomach	gnet
orpha:100075	neuroendocrine tumor of stomach	gastric net
orpha:100075	neuroendocrine tumor of stomach	gastric neuroendocrine tumor
orpha:100075	neuroendocrine tumor of stomach	net of stomach
orpha:100076	duodenal neuroendocrine tumor	duodenal neuroendocrine tumor
orpha:100077	jejunal neuroendocrine tumor	jejunal neuroendocrine tumor
orpha:100077	jejunal neuroendocrine tumor	jejunal neuroendocrine neoplasm
orpha:100078	ileal neuroendocrine tumor	ileal neuroendocrine tumor
orpha:100078	ileal neuroendocrine tumor	ileal neuroendocrine neoplasm
orpha:100079	neuroendocrine neoplasm of appendix	neuroendocrine neoplasm of appendix
orpha:100079	neuroendocrine neoplasm of appendix	appendiceal nen
orpha:100079	neuroendocrine neoplasm of appendix	appendiceal neuroendocrine neoplasm
orpha:100079	neuroendocrine neoplasm of appendix	nen of appendix
orpha:100080	neuroendocrine tumor of the colon	neuroendocrine tumor of the colon
orpha:100080	neuroendocrine tumor of the colon	colonic net
orpha:100080	neuroendocrine tumor of the colon	net of the colon
orpha:100080	neuroendocrine tumor of the colon	neuroendocrine neoplasm of the colon
orpha:100081	neuroendocrine tumor of the rectum	neuroendocrine tumor of the rectum
orpha:100081	neuroendocrine tumor of the rectum	net of the rectum
orpha:100081	neuroendocrine tumor of the rectum	rectal net
orpha:100081	neuroendocrine tumor of the rectum	rectal neuroendocrine tumor
orpha:100082	neuroendocrine tumor of anal canal	neuroendocrine tumor of anal canal
orpha:100082	neuroendocrine tumor of anal canal	net of anal canal
orpha:100083	laryngeal neuroendocrine tumor	laryngeal neuroendocrine tumor
orpha:100084	middle ear neuroendocrine tumor	middle ear neuroendocrine tumor
orpha:100085	primary hepatic neuroendocrine carcinoma	primary hepatic neuroendocrine carcinoma
orpha:100086	gallbladder neuroendocrine tumor	gallbladder neuroendocrine tumor
orpha:100087	thyroid tumor	thyroid tumor
orpha:100088	thyroid carcinoma	thyroid carcinoma
orpha:100090	rare parathyroid tumor	rare parathyroid tumor
orpha:100091	adrenal/paraganglial tumor	adrenal/paraganglial tumor
orpha:100092	gastroenteropancreatic neuroendocrine neoplasm	gastroenteropancreatic neuroendocrine neoplasm
orpha:100092	gastroenteropancreatic neuroendocrine neoplasm	gep-nen
orpha:100093	carcinoid syndrome	carcinoid syndrome
orpha:100093	carcinoid syndrome	malignant carcinoid syndrome
orpha:100094	multiple polyglandular tumor	multiple polyglandular tumor
orpha:1001	2q37 microdeletion syndrome	2q37 microdeletion syndrome
orpha:1001	2q37 microdeletion syndrome	albright hereditary osteodystrophy type 3
orpha:1001	2q37 microdeletion syndrome	albright hereditary osteodystrophy-like syndrome
orpha:1001	2q37 microdeletion syndrome	brachydactyly-intellectual disability syndrome
orpha:1001	2q37 microdeletion syndrome	del(2)(q37)
orpha:1001	2q37 microdeletion syndrome	deletion 2q37
orpha:1001	2q37 microdeletion syndrome	deletion 2q37-qter
orpha:1001	2q37 microdeletion syndrome	monosomy 2q37-qter
orpha:100100	thymic tumor	thymic tumor
orpha:100101	neuroendocrine tumor with other location	neuroendocrine tumor with other location
orpha:1003	scalp defects-postaxial polydactyly syndrome	scalp defects-postaxial polydactyly syndrome
orpha:1005	alopecia-contractures-dwarfism-intellectual disability syndrome	alopecia-contractures-dwarfism-intellectual disability syndrome
orpha:1005	alopecia-contractures-dwarfism-intellectual disability syndrome	acd-intellectual disability syndrome
orpha:1006	alopecia antibody deficiency	alopecia antibody deficiency
orpha:1006	alopecia antibody deficiency	ipp-gelfand syndrome
orpha:1008	alopecia-epilepsy-pyorrhea-intellectual disability syndrome	alopecia-epilepsy-pyorrhea-intellectual disability syndrome
orpha:1008	alopecia-epilepsy-pyorrhea-intellectual disability syndrome	shokeir syndrome
orpha:100924	porphyria due to ala dehydratase deficiency	porphyria due to ala dehydratase deficiency
orpha:100924	porphyria due to ala dehydratase deficiency	alad porphyria
orpha:100924	porphyria due to ala dehydratase deficiency	porphyria due to alad deficiency
orpha:100924	porphyria due to ala dehydratase deficiency	porphyria due to delta-aminolevulinate dehydratase deficiency
orpha:100924	porphyria due to ala dehydratase deficiency	porphyria of doss
orpha:100932	nuclear oculomotor paralysis	nuclear oculomotor paralysis
orpha:100973	fraxe intellectual disability	fraxe intellectual disability
orpha:100973	fraxe intellectual disability	intellectual disability associated with fragile site fraxe
orpha:100974	fraxf syndrome	fraxf syndrome
orpha:100976	bathing suit ichthyosis	bathing suit ichthyosis
orpha:100976	bathing suit ichthyosis	bsi
orpha:100978	cloverleaf skull-asphyxiating thoracic dysplasia syndrome	cloverleaf skull-asphyxiating thoracic dysplasia syndrome
orpha:100978	cloverleaf skull-asphyxiating thoracic dysplasia syndrome	benallegue-lacete syndrome
orpha:100979	autosomal dominant complex spastic paraplegia	autosomal dominant complex spastic paraplegia
orpha:100979	autosomal dominant complex spastic paraplegia	autosomal dominant complex hsp
orpha:100979	autosomal dominant complex spastic paraplegia	autosomal dominant complex spg
orpha:100979	autosomal dominant complex spastic paraplegia	autosomal dominant complicated hsp
orpha:100979	autosomal dominant complex spastic paraplegia	autosomal dominant complicated spg
orpha:100979	autosomal dominant complex spastic paraplegia	autosomal dominant complicated spastic paraplegia
orpha:100980	autosomal dominant pure spastic paraplegia	autosomal dominant pure spastic paraplegia
orpha:100980	autosomal dominant pure spastic paraplegia	autosomal dominant pure hsp
orpha:100980	autosomal dominant pure spastic paraplegia	autosomal dominant pure spg
orpha:100980	autosomal dominant pure spastic paraplegia	autosomal dominant uncomplicated hsp
orpha:100980	autosomal dominant pure spastic paraplegia	autosomal dominant uncomplicated spg
orpha:100980	autosomal dominant pure spastic paraplegia	autosomal dominant uncomplicated spastic paraplegia
orpha:100981	autosomal recessive complex spastic paraplegia	autosomal recessive complex spastic paraplegia
orpha:100981	autosomal recessive complex spastic paraplegia	autosomal recessive complex hsp
orpha:100981	autosomal recessive complex spastic paraplegia	autosomal recessive complex spg
orpha:100981	autosomal recessive complex spastic paraplegia	autosomal recessive complicated hsp
orpha:100981	autosomal recessive complex spastic paraplegia	autosomal recessive complicated spg
orpha:100981	autosomal recessive complex spastic paraplegia	autosomal recessive complicated spastic paraplegia
orpha:100982	autosomal recessive pure spastic paraplegia	autosomal recessive pure spastic paraplegia
orpha:100982	autosomal recessive pure spastic paraplegia	autosomal recessive pure hsp
orpha:100982	autosomal recessive pure spastic paraplegia	autosomal recessive pure spg
orpha:100982	autosomal recessive pure spastic paraplegia	autosomal recessive uncomplicated hsp
orpha:100982	autosomal recessive pure spastic paraplegia	autosomal recessive uncomplicated spg
orpha:100982	autosomal recessive pure spastic paraplegia	autosomal recessive uncomplicated spastic paraplegia
orpha:100984	autosomal dominant spastic paraplegia type 3	autosomal dominant spastic paraplegia type 3
orpha:100984	autosomal dominant spastic paraplegia type 3	strümpell disease
orpha:100985	autosomal dominant spastic paraplegia type 4	autosomal dominant spastic paraplegia type 4
orpha:100985	autosomal dominant spastic paraplegia type 4	spg4
orpha:100986	autosomal recessive spastic paraplegia type 5a	autosomal recessive spastic paraplegia type 5a
orpha:100986	autosomal recessive spastic paraplegia type 5a	spg5a
orpha:100988	autosomal dominant spastic paraplegia type 6	autosomal dominant spastic paraplegia type 6
orpha:100988	autosomal dominant spastic paraplegia type 6	spg6
orpha:100989	autosomal dominant spastic paraplegia type 8	autosomal dominant spastic paraplegia type 8
orpha:100989	autosomal dominant spastic paraplegia type 8	spg8
orpha:100990	autosomal dominant spastic paraplegia type 9	autosomal dominant spastic paraplegia type 9
orpha:100990	autosomal dominant spastic paraplegia type 9	cataracts-motor neuropathy-short stature-skeletal anomalies syndrome
orpha:100990	autosomal dominant spastic paraplegia type 9	spg9
orpha:100990	autosomal dominant spastic paraplegia type 9	spastic paraparesis-amyopathy-cataracts-gastroesophageal reflux syndrome
orpha:100991	autosomal dominant spastic paraplegia type 10	autosomal dominant spastic paraplegia type 10
orpha:100991	autosomal dominant spastic paraplegia type 10	spg10
orpha:100993	autosomal dominant spastic paraplegia type 12	autosomal dominant spastic paraplegia type 12
orpha:100993	autosomal dominant spastic paraplegia type 12	spg12
orpha:100994	autosomal dominant spastic paraplegia type 13	autosomal dominant spastic paraplegia type 13
orpha:100994	autosomal dominant spastic paraplegia type 13	spg13
orpha:100995	autosomal recessive spastic paraplegia type 14	autosomal recessive spastic paraplegia type 14
orpha:100995	autosomal recessive spastic paraplegia type 14	spg14
orpha:100996	autosomal recessive spastic paraplegia type 15	autosomal recessive spastic paraplegia type 15
orpha:100996	autosomal recessive spastic paraplegia type 15	hereditary spastic paraparesis type 15
orpha:100996	autosomal recessive spastic paraplegia type 15	kjellin syndrome
orpha:100996	autosomal recessive spastic paraplegia type 15	spg15
orpha:100996	autosomal recessive spastic paraplegia type 15	spastic paraplegia-retinal degeneration syndrome
orpha:100997	x-linked spastic paraplegia type 16	x-linked spastic paraplegia type 16
orpha:100997	x-linked spastic paraplegia type 16	spg16
orpha:100998	autosomal dominant spastic paraplegia type 17	autosomal dominant spastic paraplegia type 17
orpha:100998	autosomal dominant spastic paraplegia type 17	spg17
orpha:100998	autosomal dominant spastic paraplegia type 17	silver syndrome
orpha:100998	autosomal dominant spastic paraplegia type 17	spastic paraplegia-amyotrophy of hands and feet
orpha:100999	autosomal dominant spastic paraplegia type 19	autosomal dominant spastic paraplegia type 19
orpha:100999	autosomal dominant spastic paraplegia type 19	spg19
orpha:101	dentatorubral pallidoluysian atrophy	dentatorubral pallidoluysian atrophy
orpha:101	dentatorubral pallidoluysian atrophy	drpla
orpha:101	dentatorubral pallidoluysian atrophy	dentatorubropallidoluysian atrophy
orpha:101	dentatorubral pallidoluysian atrophy	naito-oyanagi disease
orpha:1010	autosomal dominant palmoplantar keratoderma and congenital alopecia	autosomal dominant palmoplantar keratoderma and congenital alopecia
orpha:1010	autosomal dominant palmoplantar keratoderma and congenital alopecia	autosomal dominant palmoplantar hyperkeratosis and congenital alopecia
orpha:1010	autosomal dominant palmoplantar keratoderma and congenital alopecia	ppk-ca, stevanovic type
orpha:1010	autosomal dominant palmoplantar keratoderma and congenital alopecia	palmoplantar keratoderma and congenital alopecia, stevanovic type
orpha:101000	autosomal recessive spastic paraplegia type 20	autosomal recessive spastic paraplegia type 20
orpha:101000	autosomal recessive spastic paraplegia type 20	childhood-onset spastic paraparesis-distal muscle wasting syndrome
orpha:101000	autosomal recessive spastic paraplegia type 20	spg20
orpha:101000	autosomal recessive spastic paraplegia type 20	troyer syndrome
orpha:101001	autosomal recessive spastic paraplegia type 21	autosomal recessive spastic paraplegia type 21
orpha:101001	autosomal recessive spastic paraplegia type 21	mast syndrome
orpha:101001	autosomal recessive spastic paraplegia type 21	spg21
orpha:101003	autosomal recessive spastic paraplegia type 23	autosomal recessive spastic paraplegia type 23
orpha:101003	autosomal recessive spastic paraplegia type 23	lison syndrome
orpha:101003	autosomal recessive spastic paraplegia type 23	spg23
orpha:101003	autosomal recessive spastic paraplegia type 23	spastic paraparesis-vitiligo-premature graying-characteristic facies syndrome
orpha:101004	autosomal recessive spastic paraplegia type 24	autosomal recessive spastic paraplegia type 24
orpha:101004	autosomal recessive spastic paraplegia type 24	spg24
orpha:101005	autosomal recessive spastic paraplegia type 25	autosomal recessive spastic paraplegia type 25
orpha:101005	autosomal recessive spastic paraplegia type 25	autosomal recessive spastic paraplegia-disc herniation syndrome
orpha:101005	autosomal recessive spastic paraplegia type 25	spg25
orpha:101006	autosomal recessive spastic paraplegia type 26	autosomal recessive spastic paraplegia type 26
orpha:101006	autosomal recessive spastic paraplegia type 26	gm2 synthase deficiency
orpha:101006	autosomal recessive spastic paraplegia type 26	spg26
orpha:101007	autosomal recessive spastic paraplegia type 27	autosomal recessive spastic paraplegia type 27
orpha:101007	autosomal recessive spastic paraplegia type 27	spg27
orpha:101008	autosomal recessive spastic paraplegia type 28	autosomal recessive spastic paraplegia type 28
orpha:101008	autosomal recessive spastic paraplegia type 28	spg28
orpha:101009	autosomal dominant spastic paraplegia type 29	autosomal dominant spastic paraplegia type 29
orpha:101009	autosomal dominant spastic paraplegia type 29	spg29
orpha:101010	autosomal spastic paraplegia type 30	autosomal spastic paraplegia type 30
orpha:101010	autosomal spastic paraplegia type 30	spg30
orpha:101011	autosomal dominant spastic paraplegia type 31	autosomal dominant spastic paraplegia type 31
orpha:101011	autosomal dominant spastic paraplegia type 31	spg31
orpha:101016	romano-ward syndrome	romano-ward syndrome
orpha:101016	romano-ward syndrome	romano-ward long qt syndrome
orpha:101023	cleft hard palate	cleft hard palate
orpha:101028	transaldolase deficiency	transaldolase deficiency
orpha:101028	transaldolase deficiency	taldo deficiency
orpha:101029	sub-cortical nodular heterotopia	sub-cortical nodular heterotopia
orpha:101030	subependymal nodular heterotopia	subependymal nodular heterotopia
orpha:101033	peters anomaly-cataract syndrome	peters anomaly-cataract syndrome
orpha:101039	female restricted epilepsy with intellectual disability	female restricted epilepsy with intellectual disability
orpha:101039	female restricted epilepsy with intellectual disability	efmr
orpha:101039	female restricted epilepsy with intellectual disability	juberg-hellman syndrome
orpha:101041	familial hypofibrinogenemia	familial hypofibrinogenemia
orpha:101043	aortic valve dysplasia	aortic valve dysplasia
orpha:101046	autosomal dominant epilepsy with auditory features	autosomal dominant epilepsy with auditory features
orpha:101046	autosomal dominant epilepsy with auditory features	adeaf
orpha:101046	autosomal dominant epilepsy with auditory features	adlte
orpha:101046	autosomal dominant epilepsy with auditory features	adpeaf
orpha:101046	autosomal dominant epilepsy with auditory features	autosomal dominant lateral temporal lobe epilepsy
orpha:101046	autosomal dominant epilepsy with auditory features	partial epilepsy with auditory aura
orpha:101046	autosomal dominant epilepsy with auditory features	partial epilepsy with auditory features
orpha:101049	familial hypocalciuric hypercalcemia type 2	familial hypocalciuric hypercalcemia type 2
orpha:101049	familial hypocalciuric hypercalcemia type 2	fhh type 2
orpha:101050	familial hypocalciuric hypercalcemia type 3	familial hypocalciuric hypercalcemia type 3
orpha:101050	familial hypocalciuric hypercalcemia type 3	fhh type 3
orpha:101063	situs inversus totalis	situs inversus totalis
orpha:101063	situs inversus totalis	complete situs inversus
orpha:101063	situs inversus totalis	complete situs inversus viscerum
orpha:101063	situs inversus totalis	situs inversus
orpha:101068	congenital stromal corneal dystrophy	congenital stromal corneal dystrophy
orpha:101068	congenital stromal corneal dystrophy	cscd
orpha:101068	congenital stromal corneal dystrophy	congenital hereditary stromal dystrophy
orpha:101068	congenital stromal corneal dystrophy	witschel dystrophy
orpha:101070	bilateral frontoparietal polymicrogyria	bilateral frontoparietal polymicrogyria
orpha:101071	unilateral hemispheric polymicrogyria	unilateral hemispheric polymicrogyria
orpha:101075	x-linked charcot-marie-tooth disease type 1	x-linked charcot-marie-tooth disease type 1
orpha:101075	x-linked charcot-marie-tooth disease type 1	cmt1x
orpha:101075	x-linked charcot-marie-tooth disease type 1	cmtx1
orpha:101076	x-linked charcot-marie-tooth disease type 2	x-linked charcot-marie-tooth disease type 2
orpha:101076	x-linked charcot-marie-tooth disease type 2	cmtx2
orpha:101077	x-linked charcot-marie-tooth disease type 3	x-linked charcot-marie-tooth disease type 3
orpha:101077	x-linked charcot-marie-tooth disease type 3	cmt3x
orpha:101077	x-linked charcot-marie-tooth disease type 3	cmtx3
orpha:101078	x-linked charcot-marie-tooth disease type 4	x-linked charcot-marie-tooth disease type 4
orpha:101078	x-linked charcot-marie-tooth disease type 4	cmt4x
orpha:101078	x-linked charcot-marie-tooth disease type 4	cmtx4
orpha:101078	x-linked charcot-marie-tooth disease type 4	cowchock syndrome
orpha:101081	charcot-marie-tooth disease type 1a	charcot-marie-tooth disease type 1a
orpha:101081	charcot-marie-tooth disease type 1a	cmt1a
orpha:101081	charcot-marie-tooth disease type 1a	microduplication 17p12
orpha:101082	charcot-marie-tooth disease type 1b	charcot-marie-tooth disease type 1b
orpha:101082	charcot-marie-tooth disease type 1b	cmt1b
orpha:101083	charcot-marie-tooth disease type 1c	charcot-marie-tooth disease type 1c
orpha:101083	charcot-marie-tooth disease type 1c	cmt1c
orpha:101084	charcot-marie-tooth disease type 1d	charcot-marie-tooth disease type 1d
orpha:101084	charcot-marie-tooth disease type 1d	cmt1d
orpha:101085	charcot-marie-tooth disease type 1f	charcot-marie-tooth disease type 1f
orpha:101085	charcot-marie-tooth disease type 1f	cmt1f
orpha:101088	x-linked hyper-igm syndrome	x-linked hyper-igm syndrome
orpha:101088	x-linked hyper-igm syndrome	higm1
orpha:101088	x-linked hyper-igm syndrome	hyper-igm syndrome due to cd40 ligand deficiency
orpha:101088	x-linked hyper-igm syndrome	hyper-igm syndrome due to cd40l deficiency
orpha:101088	x-linked hyper-igm syndrome	hyper-igm syndrome type 1
orpha:101088	x-linked hyper-igm syndrome	xhigm
orpha:101089	hyper-igm syndrome type 2	hyper-igm syndrome type 2
orpha:101089	hyper-igm syndrome type 2	aid deficiency
orpha:101089	hyper-igm syndrome type 2	activation-induced cytidine deaminase deficiency
orpha:101089	hyper-igm syndrome type 2	higm2
orpha:101090	hyper-igm syndrome type 3	hyper-igm syndrome type 3
orpha:101090	hyper-igm syndrome type 3	higm3
orpha:101090	hyper-igm syndrome type 3	hyper-igm syndrome due to cd40 deficiency
orpha:101091	hyper-igm syndrome type 4	hyper-igm syndrome type 4
orpha:101091	hyper-igm syndrome type 4	higm4
orpha:101092	hyper-igm syndrome type 5	hyper-igm syndrome type 5
orpha:101092	hyper-igm syndrome type 5	higm5
orpha:101092	hyper-igm syndrome type 5	hyper-igm syndrome due to ung deficiency
orpha:101092	hyper-igm syndrome type 5	hyper-igm syndrome due to uracil n-glycosylase
orpha:101096	aregenerative anemia	aregenerative anemia
orpha:101097	autosomal recessive charcot-marie-tooth disease with hoarseness	autosomal recessive charcot-marie-tooth disease with hoarseness
orpha:101097	autosomal recessive charcot-marie-tooth disease with hoarseness	arcmt2k
orpha:101097	autosomal recessive charcot-marie-tooth disease with hoarseness	autosomal recessive axonal cmt4c4
orpha:101097	autosomal recessive charcot-marie-tooth disease with hoarseness	autosomal recessive axonal charcot-marie-tooth disease type 2k
orpha:101101	charcot-marie-tooth disease type 2b2	charcot-marie-tooth disease type 2b2
orpha:101101	charcot-marie-tooth disease type 2b2	ar-cmt2b2
orpha:101101	charcot-marie-tooth disease type 2b2	autosomal recessive axonal cmt4c3
orpha:101101	charcot-marie-tooth disease type 2b2	autosomal recessive axonal charcot-marie-tooth disease type 2b2
orpha:101102	charcot-marie-tooth disease type 2h	charcot-marie-tooth disease type 2h
orpha:101102	charcot-marie-tooth disease type 2h	ar-cmt2c
orpha:101102	charcot-marie-tooth disease type 2h	autosomal recessive axonal cmt4c2
orpha:101102	charcot-marie-tooth disease type 2h	axonal charcot-marie-tooth disease with pyramidal involvement
orpha:101102	charcot-marie-tooth disease type 2h	cmt2h
orpha:101104	marin-amat syndrome	marin-amat syndrome
orpha:101106	non-secreting chemodectoma	non-secreting chemodectoma
orpha:101108	spinocerebellar ataxia type 23	spinocerebellar ataxia type 23
orpha:101108	spinocerebellar ataxia type 23	sca23
orpha:101109	spinocerebellar ataxia type 28	spinocerebellar ataxia type 28
orpha:101109	spinocerebellar ataxia type 28	sca28
orpha:101110	spinocerebellar ataxia type 20	spinocerebellar ataxia type 20
orpha:101110	spinocerebellar ataxia type 20	sca20
orpha:101111	spinocerebellar ataxia type 25	spinocerebellar ataxia type 25
orpha:101111	spinocerebellar ataxia type 25	sca25
orpha:101112	spinocerebellar ataxia type 26	spinocerebellar ataxia type 26
orpha:101112	spinocerebellar ataxia type 26	sca26
orpha:101150	autosomal recessive dopa-responsive dystonia	autosomal recessive dopa-responsive dystonia
orpha:101150	autosomal recessive dopa-responsive dystonia	autosomal recessive segawa syndrome
orpha:101150	autosomal recessive dopa-responsive dystonia	dyt5b
